,tipo,faltantes,porcentaje_faltante,valores_unicos
company,float64,112593,94.31,353
agent,float64,16340,13.69,334
country,object,488,0.41,178
hotel,object,0,0.0,2
arrival_date_month,object,0,0.0,12
arrival_date_week_number,int64,0,0.0,53
lead_time,int64,0,0.0,479
is_canceled,int64,0,0.0,2
stays_in_weekend_nights,int64,0,0.0,17
stays_in_week_nights,int64,0,0.0,35
children,float64,4,0.0,6
adults,int64,0,0.0,14
babies,int64,0,0.0,5
meal,object,0,0.0,5
arrival_date_day_of_month,int64,0,0.0,31
arrival_date_year,int64,0,0.0,3
distribution_channel,object,0,0.0,5
market_segment,object,0,0.0,8
previous_bookings_not_canceled,int64,0,0.0,73
is_repeated_guest,int64,0,0.0,2
reserved_room_type,object,0,0.0,10
assigned_room_type,object,0,0.0,12
booking_changes,int64,0,0.0,21
previous_cancellations,int64,0,0.0,15
deposit_type,object,0,0.0,3
days_in_waiting_list,int64,0,0.0,128
customer_type,object,0,0.0,4
adr,float64,0,0.0,8879
required_car_parking_spaces,int64,0,0.0,5
total_of_special_requests,int64,0,0.0,6
reservation_status,object,0,0.0,3
reservation_status_date,object,0,0.0,926
