fecha,Real,Naive,Seasonal Naive,SARIMA,XGBoost
2017-07-03,241.0,214.0,203.0,227.9117214979052,223.7751007080078
2017-07-04,286.0,214.0,196.0,184.0810656171843,188.6619873046875
2017-07-05,133.0,214.0,213.0,193.54227933263024,197.490966796875
2017-07-06,278.0,214.0,200.0,231.4883822306078,236.14727783203125
2017-07-07,227.0,214.0,253.0,241.1736361838772,214.21751403808594
2017-07-08,219.0,214.0,241.0,228.0634874902425,219.08120727539062
2017-07-09,283.0,214.0,214.0,211.5673426253874,226.33042907714844
2017-07-10,272.0,214.0,203.0,230.49899869934416,221.979736328125
2017-07-11,236.0,214.0,196.0,184.04922391666918,183.99807739257812
2017-07-12,243.0,214.0,213.0,192.97433592055143,195.22030639648438
2017-07-13,296.0,214.0,200.0,234.54334201941487,227.28993225097656
2017-07-14,179.0,214.0,253.0,241.14837740498515,229.88262939453125
2017-07-15,351.0,214.0,241.0,227.95928329596344,228.5814666748047
2017-07-16,236.0,214.0,214.0,212.2100935115973,212.0666961669922
2017-07-17,263.0,214.0,203.0,231.49872953120826,231.01341247558594
2017-07-18,218.0,214.0,196.0,184.86270273486323,185.8511199951172
2017-07-19,164.0,214.0,213.0,193.74969122200244,192.42323303222656
2017-07-20,205.0,214.0,200.0,235.57633091512278,244.4940185546875
2017-07-21,227.0,214.0,253.0,241.96232435099395,220.6151123046875
2017-07-22,242.0,214.0,241.0,228.76761623850916,222.31983947753906
2017-07-23,216.0,214.0,214.0,213.0715442747041,221.92959594726562
2017-07-24,313.0,214.0,203.0,232.3855660198995,231.21376037597656
2017-07-25,205.0,214.0,196.0,185.73629438286764,188.58338928222656
2017-07-26,184.0,214.0,213.0,194.62057181257597,193.3883514404297
2017-07-27,210.0,214.0,200.0,236.46553246687284,246.01046752929688
2017-07-28,188.0,214.0,253.0,242.83594928872347,228.85128784179688
2017-07-29,261.0,214.0,241.0,229.64084195058726,227.16709899902344
2017-07-30,199.0,214.0,214.0,213.9485473261897,219.05162048339844
2017-07-31,260.0,214.0,203.0,233.2643743130276,242.37696838378906
2017-08-01,228.0,214.0,196.0,186.61416080266315,189.6858673095703
2017-08-02,234.0,214.0,213.0,195.4982454423819,196.88352966308594
2017-08-03,236.0,214.0,200.0,237.3445089454761,251.30503845214844
2017-08-04,252.0,214.0,253.0,243.71381807583344,228.75672912597656
2017-08-05,215.0,214.0,241.0,230.51868234777518,226.055908203125
2017-08-06,209.0,214.0,214.0,214.82665633931194,225.12318420410156
2017-08-07,295.0,214.0,203.0,234.14261170134154,245.10951232910156
2017-08-08,197.0,214.0,196.0,187.4923312120382,185.54478454589844
2017-08-09,220.0,214.0,213.0,196.37640214198467,197.86595153808594
2017-08-10,199.0,214.0,200.0,238.22275829387456,252.2177734375
2017-08-11,172.0,214.0,253.0,244.59198865355413,235.0271453857422
2017-08-12,287.0,214.0,241.0,231.3968509066184,228.72837829589844
2017-08-13,217.0,214.0,214.0,215.70484400009767,223.14065551757812
2017-08-14,233.0,214.0,203.0,235.0208084912042,244.9539794921875
2017-08-15,227.0,214.0,196.0,188.37052323886314,183.75152587890625
2017-08-16,234.0,214.0,213.0,197.25459319387383,194.48179626464844
2017-08-17,261.0,214.0,200.0,239.10095593424836,252.11793518066406
2017-08-18,239.0,214.0,253.0,245.47018069235048,233.10025024414062
2017-08-19,251.0,214.0,241.0,232.27504280184738,223.59400939941406
2017-08-20,229.0,214.0,214.0,216.58303725371294,221.70538330078125
2017-08-21,230.0,214.0,203.0,235.89900239401067,241.23147583007812
2017-08-22,161.0,214.0,196.0,189.24871680295826,187.76260375976562
2017-08-23,192.0,214.0,213.0,198.13278668863884,191.22276306152344
2017-08-24,218.0,214.0,200.0,239.97914989753681,248.18988037109375
2017-08-25,297.0,214.0,253.0,246.34837425729694,231.10830688476562
2017-08-26,221.0,214.0,241.0,233.15323635658442,226.60751342773438
2017-08-27,265.0,214.0,214.0,217.46123090504818,223.06631469726562
2017-08-28,248.0,214.0,203.0,236.77719609151148,239.6811065673828
2017-08-29,150.0,214.0,196.0,190.12691047637247,187.76260375976562
2017-08-30,128.0,214.0,213.0,199.01098035712283,194.5216827392578
2017-08-31,189.0,214.0,200.0,240.8573435993387,247.4089813232422
